channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
Genshin Chronicles,64161065,21,125,1018,26,0,415198,17147385,16973,0,1018
Mrcasual ,182149309,117000,1071,36901,2987,149,4713251,111563,349,0,36901
The Gamer Chronicles,273771612,65100,275,53254,2026,259,4264445,289361,426,1,53254
F2P Genshin Impact,133970126,734,841,706,18,5,11642528,340234,336,2,706
Flex Genshin,174214624,18200,118,30915,1870,90,16691284,600851,1408,1,30915
SekouSaka,147484147,794,43,1631,15,1,3363193,726612,258,0,1631
Togekon,158457541,43500,108,133992,5766,97,6393920,1089579,1817,0,133992
Plathong Ch.,264610833,186000,3446,134975,6036,136,10141389,256690,444,0,134975
Max0r,369567467,1560000,100,5099754,176984,7424,23774450,1156362,1555,1,5099754
hazel,45323711,250,81,21584,793,62,2131231,30539460,43484,86,21584
申鶴 Shenhe,94597455,37400,1065,13243,387,44,681600,125251,141,0,13243
Doro44,145847972,1000000,1388,1264114,98156,900,5947605,447152,1345,0,1264114
FrappleSenseii,134643828,25800,60,227462,6891,227,7678986,3118592,3661,3,227462
MurderofBirds Impact,147216490,83500,835,62820,3262,419,7864243,266122,535,1,62820
Kazami Jump - Gaming channel,65456432,56,51,455,7,1,4217602,2874040,1713,6,455
Genshin Impact - Astra Carnival,123897289,61300,247,111307,1825,33,7745602,642290,408,0,111307
Lethos,148359971,85,8,4626,112,11,294937,19251126,18063,45,4626
Toma超想吃番茄,332362027,81500,63,372790,23516,258,5348802,1617990,3955,1,372790
Moon,115266198,80600,914,5591,359,54,1070999,24537,61,0,5591
Poce Of Liyue,133110689,1470,177,2760,82,18,1323854,664142,764,4,2760
Genshin Impact US,225567791,62,4,896,28,1,6683778,5111940,6191,5,896
genshin impact guide,142947376,5,8,3,0,0,113237,212236,0,0,3
Genshin Impact quest ,102022435,21,12,15,6,0,303798,252662,3916,0,15
GENSHIN IMPACT PLAYING,20092749,97,25,2693,8,0,1759010,9820510,1130,0,2693
Saintontas,60587010,97200,1663,39649,1876,575,3561699,144289,264,2,39649
2y0x,95632575,163000,306,119070,6034,181,6745943,258395,507,0,119070
Shiloh & Bros Gaming,46691063,379000,47,0,0,0,0,0,0,0,0
Genshin Impact Voicelines,112398371,2,9,289,3,0,1672412,51113696,20563,0,289
Royalty Gaming,176467225,7660000,177,9642150,163106,1658,20426892,445260,291,0,9642150
Genshin,8240631,7,11,1710,22,2,181446,86410697,43085,99,1710
DIMSK,278870385,308000,231,224292,10293,576,10695843,257592,458,0,224292
⭐️𝐋𝐈𝐘𝐔𝐄,6333485,10,27,789,27,0,499652,27909139,37014,0,789
Genshin Guide,168383163,32,13,3140,64,4,5836015,34709560,27418,43,3140
BrodyAnimates,390444702,2810000,114,8177683,315514,5019,13109133,1029421,1539,0,8177683
Genshin Impact தமிழ் ,85171087,22,46,408,2,0,390135,6560046,1246,0,408
Genshin Impact tv,85854248,2,1,52,3,0,0,9196928,20563,0,52
Ira🧁,127683497,384,14,4500,277,10,7280945,4145250,9889,9,4500
Whize Ngopskuy,316903541,137000,6213,52195,2540,198,11288080,134765,254,0,52195
CosmosZR,401331608,147000,213,96682,7079,1032,3995859,232647,660,2,96682
 🌸 Cherry Uzumaki 🌸,145890948,5,45,21,0,0,109708,1485657,0,0,21
Genshin Impact Türkçe,139069323,8,4,53,5,0,778251,2343448,8568,0,53
