channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
Mèo Mê Phim,1775286754,67500,489,227776,433,15,805,1967997,0,252159,54390,971,3633,227776
Review Phims,1775286754,951,27,30722,191,15,1629,402998,0,252159,54390,971,3633,30722
Ellie Review Phim,1775286754,1160,28,78644,266,10,816,234510,0,252159,54390,971,3633,78644
Heo Xinh Review Doraemon,1775286754,115000,277,455660,1446,29,1128,5289797,0,252159,54390,971,3633,455660
PHIM HAY CỦA NGÀY,1775286754,683,69,5890,42,10,3996,1336947,0,252159,54390,971,3633,5890
Cami Review,1775286753,103,27,7716,37,3,1902,231685,0,252159,54390,971,3633,7716
Cánh Cụt Phim,1775286753,7290,42,81366,820,85,10781,3621093,0,252159,54390,971,3633,81366
Nhân Hiền Review ,1775286784,6070,26,24126,230,8,9029,105599,0,252159,54390,971,3633,24126
FC Review,1775286785,241000,305,1269105,5439,127,4221,11791196,0,252159,54390,971,3633,1269105
SCORER CINEMA ,1775286789,121000,125,321177,1483,21,1320,4684464,0,252159,54390,971,3633,321177
3T Media - Tổng Tài Giả Nghèo Review Phim,1775286788,56100,215,402853,2563,111,7029,1717201,0,252159,54390,971,3633,402853
Queen Review Phim,1775286787,94900,614,510167,1428,60,2000,10597110,0,252159,54390,971,3633,510167
Unisys Music,1775286787,3730000,612,14910011,67233,2062,853,20939477,0,252159,54390,971,3633,14910011
Kiểm Định Phim 9.0,1775286787,43700,58,112383,2917,436,691,3258424,0,252159,54390,971,3633,112383
SriBalajiMovies,1775286787,22900000,35214,2598057,53285,68,40,11338461,0,252159,54390,971,3633,2598057
Cá Bé Review Phim,1775286787,274,9,13039,93,28,1503,172800,0,252159,54390,971,3633,13039
Cáo Làm Phim,1775286785,133000,84,325417,1781,134,6897,9110803,0,252159,54390,971,3633,325417
Chơi Phim Review,1775286785,66500,459,477221,1886,114,781,2169317,0,252159,54390,971,3633,477221
Review Phim Bộ,1775286788,82000,180,1498462,5726,154,4974,8418603,0,252159,54390,971,3633,1498462
Mồn Lèo Review,1775286816,490,20,64092,210,7,641,1104246,0,252159,54390,971,3633,64092
Lucky Cat Review,1775286808,31900,187,407024,1218,36,1308,1670395,0,252159,54390,971,3633,407024
Vus Review ,1775286808,88600,282,967437,3328,98,2241,3878401,0,252159,54390,971,3633,967437
Trưởng Thôn 2,1775286808,4850,11,312845,974,70,959,820800,0,252159,54390,971,3633,312845
Hiệu Phó Review Phim,1775286808,1470,11,127711,990,75,3377,321452,0,252159,54390,971,3633,127711
Não Động Review,1775286810,100000,412,448192,1628,44,1166,3436800,0,252159,54390,971,3633,448192
Cuồng Phim Hay,1775286810,42600,266,307792,900,35,1178,4502099,0,252159,54390,971,3633,307792
Quạc Review,1775286808,552000,724,2426170,9538,349,699,14179181,0,252159,54390,971,3633,2426170
Drama Đỉnh Cao,1775286811,32100,60,293170,1558,74,8261,911991,0,252159,54390,971,3633,293170
Cúc kick review,1775286809,66400,69,220048,1693,49,5093,1955367,0,252159,54390,971,3633,220048
"Maribelle – Romance, Comedy & Drama Movies for YOU",1775286812,14400,120,1214209,23198,684,5426,0,0,252159,54390,971,3633,1214209
Hầu Vương Review Phim,1775286812,265000,918,1780652,5489,153,1357,12873823,0,252159,54390,971,3633,1780652
Miu Miu Review,1775286825,22100,202,170375,814,86,7386,1497356,0,252159,54390,971,3633,170375
Ngọc Thích Xem Phim,1775286825,11900,271,223684,1576,52,1145,3523401,0,252159,54390,971,3633,223684
Đào Review Phim 2,1775286828,25900,248,230038,925,41,2764,3715193,0,252159,54390,971,3633,230038
Hina Review Phim,1775286825,8990,8,173665,1261,58,4867,2345187,0,252159,54390,971,3633,173665
Cô Gái Xấu Xí Review Phim,1775286826,54900,317,241146,1542,84,2587,2088461,0,252159,54390,971,3633,241146
Ultra Movie Parlour,1775286836,31900000,2317,2048143,11088,173,4410,49812560,0,252159,54390,971,3633,2048143
GÓC REVIEW PHIM,1775286831,87800,126,165914,3302,118,7812,1508248,0,252159,54390,971,3633,165914
Tea Phim,1775286830,507000,554,1365302,8539,275,5663,10742405,0,252159,54390,971,3633,1365302
Quả Cam Review,1775286828,75800,299,503473,1830,41,1276,5474404,0,252159,54390,971,3633,503473
Mọt Mê Review,1775286829,15200,116,173461,621,37,938,1987195,0,252159,54390,971,3633,173461
